artist,artist_uri
NCT 127,spotify:artist:7f4ignuCJhLXfZ9giKT7rH
LISA,spotify:artist:5L1lO4eRHmJ7a0Q6csE5cT
ATEEZ,spotify:artist:68KmkJeZGfwe1OUaivBa2L
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0
HyunA&DAWN,spotify:artist:6JTCN21ovvrR3iPViZTXz4
Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v
Young K,spotify:artist:34HmvZztvxqAo2mBSAieRe
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
JAY B,spotify:artist:3IjHX8KZKoeq3X4QgXxqbT
Red Velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM
D.O.,spotify:artist:2CQZr2RPZmrcvDnaod1ldC
ENHYPEN,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9
SOMI,spotify:artist:7zYj9S9SdIunYCfSm7vzAR
CL,spotify:artist:0tzSBCPJZmHTdOA3ZV2mN3
Sam Kim,spotify:artist:4BBN286rBKyCWsSPq2cxYO
TEN,spotify:artist:3Q5Qep7ytrjVleNnMnntgQ
SUNMI,spotify:artist:6MoXcK2GyGg7FIyxPU5yW6
Weeekly,spotify:artist:73B9bjqS2Z5KLXNGqXf64m
THE BOYZ,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0
aespa,spotify:artist:6YVMFz59CuY7ngCxTxjpxE
TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
ITZY,spotify:artist:2KC9Qb60EaY0kW4eH68vr3
LOONA,spotify:artist:52zMTJCKluDlFwMQWmccY7
Dreamcatcher,spotify:artist:5V1qsQHdXNm4ZEZHWvFnqQ
AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv
ASTRO,spotify:artist:4pz4uzOMpJQyV8UTsDy4H8
NCT DREAM,spotify:artist:1gBUSTR3TyDdTVFIaQnc02
JOY,spotify:artist:0sYpJ0nCC8AlDrZFeAA7ub
SEVENTEEN,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH
ROSÉ,spotify:artist:3eVa5w3URK5duf6eyVDbu9
Brave Girls,spotify:artist:7t5H3uQv0Zw6cQUnSTF5BB
SF9,spotify:artist:7LOmc7gyMVMOWF8qwEdn2X
OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI
EVERGLOW,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ
IU,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU
2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS
GFRIEND,spotify:artist:0qlWcS66ohOIi0M8JZwPft
OMEGA X,spotify:artist:2FJYWlqgtoiBtXpOy9GGIF
EXO,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O
DAY6,spotify:artist:5TnQc2N1iKlFjYD7CPGvFc
NCT U,spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ
iKON,spotify:artist:5qRSs6mvI17zrkJpOHkCoM
PENTAGON,spotify:artist:1wKpMkucynaTfG8lyPprYV
AB6IX,spotify:artist:4y0wFJ5jmCUNRLZfsw1I7g
WINNER,spotify:artist:5DuzBeOgFwViFcv00Q5PFb
The Rose,spotify:artist:5na1LmEmK2VzNLje9snJYW
TREASURE,spotify:artist:3KonOYiLsU53m4yT7gNotP
CIX,spotify:artist:1lHfzEkKmmvdVDDDLKkcsd
GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df
VAV,spotify:artist:3riGN5iBVBk5naQxUDr5fk
A.C.E,spotify:artist:25KT93FeotUTHC1dbLasxi
SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR
Golden Child,spotify:artist:5zShiwTHlygdfsXj6eavTu
