artist,artist_uri,track,track_uri,popularity
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,ASAP,spotify:track:5BXr7hYZQOeRttkeWYTq5S,72
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,STEREOTYPE,spotify:track:2bZIDMpzVooosmPHn0tHnd,65
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,SO BAD,spotify:track:13KR2yNRDrbKwR3dOKCDl4,64
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,I’ll BE THERE,spotify:track:1aWnOcf3GE7xuu4rubVPYL,55
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,SO WHAT,spotify:track:6hC2Qn11Fzw4Ufi4XH6z2m,54
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,SLOW DOWN,spotify:track:4SiwxGPQzlG2r4zatpEzLc,54
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,COMPLEX,spotify:track:1JWtIj2hmFjGucIlC7zfAe,53
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,LOVE FOOL,spotify:track:2OhOkew9BkkLTGBG9cFOz5,53
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,LIKE THIS,spotify:track:1RdDIsdbpioXZzadE5MLOG,50
STAYC,spotify:artist:01XYiBYaoMJcNhPokrg0l0,SO BAD (TAK Remix),spotify:track:0buvspLcSje0ahquNjkzn9,43
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Hate that…,spotify:track:7f5np1evozJ5kXUXXztTSm,68
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,One of Those Nights,spotify:track:2OsH4MtKPVeI8w9sFBLEvZ,52
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,I Wanna Be,spotify:track:7Bd6h5KwA4ASCXCSoWIS3i,50
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Show Me,spotify:track:2citvEGmOgIoGl6Jend3cU,46
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,I Will Fight,spotify:track:0X1bdT5WEYL2wtAvNDsbt9,41
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Forever Yours,spotify:track:5sbw4ElXcAwiQmMP6EEQlT,40
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Chemicals,spotify:track:5lnOzSuRgh1f0Lm6JC9FSP,38
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Imagine,spotify:track:4ZU4jeteTyVZOPDVwNy0WS,37
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Cold - Bonus Track,spotify:track:0yyYD0MDD5nVoLD5iUVBqH,36
KEY,spotify:artist:6XXKPxRX2WWPPtfodzpc2v,Honest,spotify:track:4V5q1vLdQZvSDcpDGSsR52,36
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,Guard You,spotify:track:3AQLNP4d68hIenp2KpwLlp,52
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,best song,spotify:track:259vEYIeuiVqTcJsaaE696,47
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,"goodnight, dear",spotify:track:3c8LgCeqvBz0qtCRrS72yD,47
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,Microphone,spotify:track:4qaVcA4yzqG1dlGNdvyTh4,47
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,want to love you,spotify:track:4is7rfBhIbPBpVdAMnhFoQ,47
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,not gonna love,spotify:track:0scY0FycWIn2ut429xuMja,47
Young K,spotify:artist:6mNk6ugGIlgVhtDw5dQmCX,come as you are,spotify:track:6YAkb5lCO5mFePA6hvb4Qb,47
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,Thunderous,spotify:track:3ihf9gTcRUz7EvkFnoh5TW,81
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,DOMINO,spotify:track:5JIzb3fBZkHccwxnArc5j6,75
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,God’s Menu,spotify:track:0RzT9tBLcQhofW2TNiHP9B,74
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,Back Door,spotify:track:7I0vl97TYZW86qYdgcD1qu,73
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,"Red Lights (Bang Chan, Hyunjin)",spotify:track:2mUKh4aIxzXHHd0v9CSd8b,73
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,CHEESE,spotify:track:5RvuQYqw1KZanRWDGAZrQd,73
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,SSICK,spotify:track:04tdHVB1dqr7uT9aiWEGPw,71
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,The View,spotify:track:2Sge3diCXX5ffrzoTHVaj4,71
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,"Sorry, I Love You",spotify:track:1W9Kx4Oc7FbNbgYKmZSQhb,70
Stray Kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,Silent Cry,spotify:track:0EetZOEMuGdEEz4x2q4VlM,70
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,LO$ER=LO♡ER,spotify:track:21aOLk12MksET8AsbU0SI6,81
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,0X1=LOVESONG (I Know I Love You) feat. Seori,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,79
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,Anti-Romantic,spotify:track:44tTqUi3xi7E28QLzHVdUA,79
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,Blue Hour,spotify:track:3ObPkJQAgjAhTwYvDhPrAW,72
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,Magic,spotify:track:4Wh5WGtov1VJ6EJ8OQgNeS,72
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,9 and Three Quarters - Run Away,spotify:track:1rqb2FCXVn2HNL1afJEnTr,69
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,No Rules,spotify:track:1lb61ya67YS87CtjYN0bil,69
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,MOA Diary (Dubaddu Wari Wari),spotify:track:3XoYQvTJK5KT0ynrq7mcCN,68
TOMORROW X TOGETHER,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,CROWN,spotify:track:0EmYZZ8OqeALedVhijSjsg,67
